Address,Time,Temp (C),Humidity (%),Pressure (hPa),Soil (su),#TX
3,"05/03/2021, 15:42:36",25.25,96.25,400.0,70.2,9
3,"05/03/2021, 15:42:55",25.25,96.25,400.0,70.2,4
3,"05/03/2021, 15:43:09",25.25,96.25,400.0,70.2,10
3,"05/03/2021, 15:43:30",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:43:41",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:43:53",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:44:10",25.25,96.25,400.0,70.2,9
3,"05/03/2021, 15:44:29",25.25,96.25,400.0,70.2,13
3,"05/03/2021, 15:44:52",25.25,96.25,400.0,70.2,4
3,"05/03/2021, 15:45:06",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:45:23",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:45:35",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:45:50",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:46:02",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:46:15",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:46:27",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:46:39",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:46:50",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:47:03",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:47:16",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:47:28",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:47:43",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:47:59",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:48:11",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:48:22",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:48:39",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:48:54",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:49:05",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:49:17",25.25,96.25,400.0,70.2,9
3,"05/03/2021, 15:49:37",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:49:49",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:50:01",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:50:12",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:50:28",25.25,96.25,400.0,70.2,6
3,"05/03/2021, 15:50:44",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:50:55",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:51:08",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:51:20",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:51:32",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:51:44",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:51:57",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:52:11",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:52:22",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:52:37",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:52:51",25.25,96.25,400.0,70.2,3
3,"05/03/2021, 15:53:04",25.25,96.25,400.0,70.2,1
3,"05/03/2021, 15:53:15",25.25,96.25,400.0,70.2,10
3,"05/03/2021, 15:53:35",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:53:48",25.25,96.25,400.0,70.2,8
3,"05/03/2021, 15:54:06",25.25,96.25,400.0,70.2,5
3,"05/03/2021, 15:54:21",25.25,96.25,400.0,70.2,4
3,"05/03/2021, 15:54:35",25.25,96.25,400.0,70.2,2
3,"05/03/2021, 15:54:48",25.25,96.25,400.0,70.2,1
